dataset,task,model,metric,val_score,test_score,best_params,n_iter,time_s
Brazilian_houses,regression,GBT,R²,0.9863,0.9981,"{""criterion"": ""squared_error"", ""learning_rate"": 0.681588675231356, ""loss"": ""huber"", ""max_depth"": 3, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 947, ""subsample"": 0.8823542193640076}",50,93.8
Brazilian_houses,regression,XGBoost,R²,0.985,0.9962,"{""colsample_bylevel"": 0.7102273878505958, ""colsample_bytree"": 0.9139406806121158, ""gamma"": 0.003536152198928343, ""learning_rate"": 0.07039238770904203, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 2700, ""reg_alpha"": 2.430422114711425e-08, ""reg_lambda"": 3.821517268928454, ""subsample"": 0.5925665494192269}",50,21.56
Brazilian_houses,regression,MLP,R²,0.9906,0.995,"{""batch_size"": 512, ""hidden_layer_sizes"": [772, 772, 772, 772], ""learning_rate_init"": 4.032629049479268e-05}",50,5079.19
fifa,regression,RandomForest,R²,0.6445,0.6755,"{""bootstrap"": true, ""criterion"": ""absolute_error"", ""max_depth"": null, ""max_features"": 0.4, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 6, ""min_samples_split"": 2, ""n_estimators"": 589}",50,212.8
fifa,regression,GBT,R²,0.6459,0.6746,"{""criterion"": ""friedman_mse"", ""learning_rate"": 0.017624105048981004, ""loss"": ""squared_error"", ""max_depth"": 4, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 10, ""min_samples_split"": 2, ""n_estimators"": 184, ""subsample"": 0.5916240542788882}",50,124.3
fifa,regression,XGBoost,R²,0.6546,0.6891,"{""colsample_bylevel"": 0.5848971904698292, ""colsample_bytree"": 0.9762273316150404, ""gamma"": 1.0033936775250487, ""learning_rate"": 0.0436115671816018, ""max_depth"": 5, ""min_child_weight"": 7, ""n_estimators"": 3300, ""reg_alpha"": 2.7510876987660695, ""reg_lambda"": 2.148225807918684, ""subsample"": 0.9323626269049261}",50,22.97
fifa,regression,MLP,R²,0.6408,0.6668,"{""batch_size"": 512, ""hidden_layer_sizes"": [778, 778, 778, 778, 778, 778, 778, 778], ""learning_rate_init"": 0.0014765211251440292}",50,2733.9
MiamiHousing2016,regression,RandomForest,R²,0.9055,0.9149,"{""bootstrap"": false, ""criterion"": ""absolute_error"", ""max_depth"": null, ""max_features"": ""log2"", ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 313}",50,437.94
MiamiHousing2016,regression,GBT,R²,0.9197,0.9235,"{""criterion"": ""squared_error"", ""learning_rate"": 0.1861435532254412, ""loss"": ""huber"", ""max_depth"": 3, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 20, ""min_samples_split"": 2, ""n_estimators"": 584, ""subsample"": 0.9526540251274591}",50,137.62
MiamiHousing2016,regression,XGBoost,R²,0.9248,0.9281,"{""colsample_bylevel"": 0.693517687262999, ""colsample_bytree"": 0.8264285743502182, ""gamma"": 0.00011073645873142054, ""learning_rate"": 0.03973862714143003, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 3300, ""reg_alpha"": 0.00447696986466508, ""reg_lambda"": 1.0012789048588815, ""subsample"": 0.7115666109394843}",50,43.12
MiamiHousing2016,regression,MLP,R²,0.9047,0.8978,"{""batch_size"": 256, ""hidden_layer_sizes"": [368, 368, 368, 368, 368], ""learning_rate_init"": 0.007709766837136784}",50,7247.01
